tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,2,"[200,300)",14;15,"[2.5,3)..[3,3.25)",0.6929635481404217,0.4018300178098392,1.135541028002143,0.22558022681302226,3659.502764741689,162.0940999396903,3647.1975141957173,0.07591424086718884,1.003373892008337
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,3,"[200,300)",16,"[3.25,3.5)",1.745690475523506,1.0996494821568878,2.6621752690168052,0.191991185289901,414.3934613762758,73.63155939285629,254.69974764171232,2.1688215630817798,1.6269881113475055
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,4,"[300,500)",26;27;28;29,"[2.5,3)..[3.5,3.75)",1.1517877993193804,0.6708793509199145,1.9665125751551054,0.23352615151892997,3479.9478306976894,109.13318546300347,3368.7158042558285,1.0192319226269528,1.0330191185321531
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,5,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,63.660210322789744,1.0163484059269519,1.653740129171259
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,6,"[500,800)",40;41;42,"[3.25,3.5)..[3.75,4.0)",2.43323632275016,1.6184211543971248,3.780991691435411,0.18425708827676823,1201.056810782375,51.98983736479299,1269.3472735336434,-1.3135348408978504,0.946200331323705
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,7,"[800,1100)",52;53;54;55,"[3.25,3.5)..[4.0,4.25)",3.958418195431338,2.6568005759098616,6.1584067909563895,0.1825547079607317,513.5152226673823,30.141081223682367,495.4893791887588,0.5980489997970051,1.0363798786325882
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,8,"[1100,2000)",65;66;67,"[3.5,3.75)..[4.0,4.25)",7.619364845557113,5.059728411330851,11.875295345148995,0.18525860676524575,230.37913754229874,18.044967787660394,246.52284594826511,-0.8946376960010899,0.9345143516258356
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,9,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,26.70791255047427,2.1445752596823295,1.9117909373830424
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,10,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,6.936715040617168,1.2333388197713,2.37200333640941
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,1,"[125,200)",1;2,"[2,2.5)..[2.5,3)",0.4283518106748925,0.22777046771231627,0.7507889631341904,0.2590102330597204,4774.303519480607,344.0635064643145,5061.772842760916,-0.8355123919837308,0.9432077787347899
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,2,"[125,200)",3,"[3,3.25)",1.0245178310407024,0.6379131376068546,1.610532200966142,0.20110393306542518,657.0089484061609,135.1554329340624,445.80864929589876,1.5626474979611025,1.4737465265508591
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,3,"[200,300)",14;15,"[2.5,3)..[3,3.25)",0.6929635481404217,0.4018300178098392,1.135541028002143,0.22558022681302226,3659.502764741689,162.0940999396903,3532.090370372892,0.7860396795207423,1.0360728013749394
0.4,14,37.70593464960203,11,3.4278122408729117,3.43523427016334,0.3946260799273783,4,"[200,300)",16,"[3.25,3.5)",1.745690475523506,1.0996494821568878,2.6621752690168052,0.191991185289901,414.3934613762758,73.63155939285629,252.54061173262724,2.198145074995539,1.6408983035766433
