scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,4,20,"[200,300)","[3.5,3.75)",314
file,202201,4,21,"[200,300)","[3.75,4.0)",177
file,202201,4,22,"[200,300)","[4.0,4.25)",65
file,202201,4,23,"[200,300)","[4.25,4.5)",32
file,202201,4,24,"[200,300)","[4.5,4.75)",14
file,202201,4,25,"[200,300)","[4.75,5.0)",4
file,202201,4,26,"[200,300)",>=5,3
file,202201,4,27,"[300,500)","[2,3)",1053
file,202201,4,28,"[300,500)","[3,3.25)",1916
file,202201,4,29,"[300,500)","[3.25,3.5)",970
file,202201,4,30,"[300,500)","[3.5,3.75)",207
file,202201,4,31,"[300,500)","[3.75,4.0)",89
file,202201,4,32,"[300,500)","[4.0,4.25)",52
file,202201,4,33,"[300,500)","[4.25,4.5)",25
file,202201,4,34,"[300,500)","[4.5,4.75)",8
file,202201,4,35,"[300,500)","[4.75,5.0)",2
file,202201,4,36,"[300,500)",>=5,1
file,202201,4,37,"[500,800)","[3,3.25)",298
file,202201,4,38,"[500,800)","[3.25,3.5)",797
file,202201,4,39,"[500,800)","[3.5,3.75)",325
file,202201,4,40,"[500,800)","[3.75,4.0)",47
file,202201,4,41,"[500,800)","[4.0,4.25)",21
file,202201,4,42,"[500,800)","[4.25,4.5)",6
file,202201,4,43,"[500,800)","[4.5,4.75)",2
file,202201,4,44,"[500,800)","[4.75,5.0)",0
file,202201,4,45,"[500,800)",>=5,1
file,202201,4,46,"[800,1100)","[3.25,3.5)",84
file,202201,4,47,"[800,1100)","[3.5,3.75)",193
file,202201,4,48,"[800,1100)","[3.75,4.0)",94
file,202201,4,49,"[800,1100)","[4.0,4.25)",10
file,202201,4,50,"[800,1100)","[4.25,4.5)",5
